Machine Name,Type,Ease of Use,Capacity (Liters),Power Consumption (kW),Price (INR),Price (USD),Brew Time (Minutes),Weight (kg),Brew Quality,Image URL
Nespresso Creatista Pro BNE900,Pod-Based Espresso Machine,Touchscreen interface with milk frothing,2.2,1.5,72245.75,849.95,1.5,6.6,Excellent crema and customizable milk texture,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTur7yx0n71s8JEIFLChIizkr4kK1XK9DqgPw&s
Nespresso Essenza Mini D30,Pod,Easy,0.6,1.26,12665,149,2.5,2.3,Good,https://www.freshbrewco.in/cdn/shop/files/14_f3859edc-d125-4745-90b6-7dd7c51411f0_1024x.png?v=1727085119
Nespresso Expert C80-D80,Pod-Based Espresso Machine,Pod insertion with multiple brew sizes,1.1,1.2,32295.75,379.95,1,3.2,Excellent crema with consistent taste,https://d27in5296vwmy3.cloudfront.net/catalog/product/n/e/nespresso-d80-expert-coffee-maker-anthracite-gray-1600-w_30332673_7a5c6a5d85c0360f7f3a5fa856f6cb79_2.jpg
Nespresso Gran Maestria Titanium,Espresso Machine,Advanced,1.4,1.6,59415,699,0.6,6,Excellent,https://m.media-amazon.com/images/I/61-TTmXh3TL.jpg
Nespresso Maestria Crema,Espresso Machine,Advanced,1.4,1.6,46665,549,0.6,5.8,Excellent,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSw-Tk3EV2JMVgga35II6gnD_mZ39TNy1wwGQ&s
Nespresso Pixie C61,Compact Pod-Based Coffee Maker,Fast heating and compact design,0.7,1.26,15295.75,179.95,1,2.8,Rich crema with excellent espresso consistency,https://access.jebelz.com/media/catalog/product/cache/4ec3cacea31d5a03269462614fb10cbb/p/r/prft-c61-me-ti-ne-nespresso-pixie-electric-titan-coffee-machine-1620891115_1_1.jpg
Nespresso Vertuo Next,Capsule Coffee Machine,Medium,1.1,1.2,15215,179,0.5,4,Good,https://images-cdn.ubuy.co.in/633b6ba89628bd7366608cd0-nespresso-bnv520mtb-vertuo-next-espresso.jpg
Nespresso Vertuo Pop,Capsule Coffee Machine,High,0.6,1.1,11049.15,129.99,0.3,3.5,Good,https://images-cdn.ubuy.co.in/654971cd805640293429394e-nespresso-vertuo-pop-deluxe-coffee-and.jpg
Ninja CE251,Programmable Coffee Brewer,High,1.5,1.1,6800,80,8,2.7,Good,"https://m.media-amazon.com/images/I/81+HcYgDo1L._AC_UF894,1000_QL80_.jpg"
Ninja DualBrew Pro CFP301,Drip & Pod Combo Machine,High,1.9,1.2,19549.15,229.99,4,4.8,Good,"https://crdms.images.consumerreports.org/f_auto,w_600/prod/products/cr/models/412815-dual-coffee-makers-ninja-dualbrew-pro-12-cup-cfp301-10037415.png"
Ninja Hot and Cold Brewed System CP307,Versatile Coffee and Tea Maker,Custom brewing sizes and options,1.5,1.55,19549.15,229.99,4,4.3,Customizable temperature and brew style,"https://crdms.images.consumerreports.org/f_auto,w_600/prod/products/cr/models/396980-drip-coffee-makers-with-carafe-ninja-hot-and-cold-brewed-system-cp307-10001363.png"
Ninja Specialty Coffee Maker CM401,Drip/Specialty,Easy,1.5,1.4,14449.15,169.99,6,3.1,Excellent,https://m.media-amazon.com/images/I/81BzHbm5GvL.jpg
Nuova Simonelli Oscar II,Espresso,Moderate,3,1.2,110075,1295,4,13,Exceptional,https://5.imimg.com/data5/NV/PB/WS/SELLER-1418251/oscar-ii-500x500.jpg
Oster Optimal Brew BVSTBXT43,Drip,Easy,1.8,1.2,8499.15,99.99,5.5,3.5,Good,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSJThLNr5ae-3asLtGxlwJwbA9OetjVOefcvg&s
OXO Brew 8-Cup Coffee Maker,Drip Coffee Maker,High,1.1,1.5,17000,200,6,3.8,Excellent,"https://m.media-amazon.com/images/I/717dHUDucUL._AC_UF894,1000_QL80_.jpg"
Philips 3200 Series EP3241/54,Fully Automatic Coffee Machine,Intuitive touch display with customizable options,1.8,1.5,76495.75,899.95,2,8,Excellent crema and consistent espresso,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQIra6JxCr4RP25HpDOf1OFDHUTgVMsnrFYmQ&s
Philips L'OR Barista Sublime LM9012/60,Pod,Easy,1,1.45,12665,149,1.5,2.4,Excellent,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQKUEedKuXotfpXrZOOTI8oP19wVxi2ig-ZGw&s
Rancilio Silvia V6,Espresso,Moderate,2,1.35,72250,850,4,14,Exceptional,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRHPcJxf_fxEONFRqAfmxGX_gXE2iLwdGO5wA&s
Ratio Four Coffee Maker (RATIO4BLK),Pour-over Coffee Maker,Medium,0.65,1.2,22095.75,259.95,4,3.63,Excellent,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQw5kS1IhlSA9ZOpjN-MAagwQ3IFe1yykQbMg&s
Ratio Six Coffee Maker,Drip,Moderate,1.25,1.5,31025,365,6,3,Excellent,"data:image/jpeg;base64,/9j/4AAQSkZJRgABAQAAAQABAAD/2wCEAAkGBxISEhUTEhIVFhUVFhUVFRYVFRUVFRUVFRUXFhUVFRUYHSggGBolHRUVITEhJSkrLi4uFx8zODMtNygtLisBCgoKDg0OFw8PFy0dFR0rKystLS0rKystKy0tLS0tLSstKy0tLS0tKystLS0tLS0tLS03Ky0tLS0tLSsrLSsrK//AABEIAO0A1QMBIgACEQEDEQH/xAAcAAACAwEBAQEAAAAAAAAAAAAABQQGBwMCAQj/xABUEAABAwICAwwDCwgIAwkAAAABAAIDBBEFIQYSMQcTIjJBUWFxgZGhsVLB0SMzQlRicoKSorLCFCRDU3ODs/AWRGOTo8PS4eLj8RclNGSElKTT1P/EABcBAQEBAQAAAAAAAAAAAAAAAAABAgP/xAAbEQEBAQEBAQEBAAAAAAAAAAAAARECEjFBIf/aAAwDAQACEQMRAD8A3FCEIEGnWPuoKOSoY0Oe0sa1rr6t3vDbm2dgCTboWTxbsdc42EUHc72q7buMlsMt6U0Y8HO9SwTDNq1zBqI3TMRds3gfuyfxLwd0XE/1kI/c/wDEqzC3JelvzEWI7oOJ/roh+5b7V4On2KfGGdkLEhsvlkyB4dOsT+MjsiZ7F5Om2JfGj2Rx+xJV8TIHB0zxL4276kf+leDpfiXxyTuZ7EqQrkDJ2leI/HJfs+xeDpRiPx2bvHsUAhfLKZBOOkuI/Hp/rD2LwdIsQ+Oz/WHsUSy+2TB3dpBX/HZu9vsUZ+luIt/rcna2I+bF9c1KqsKUMY9NMQJsak/3cI8mJ/h2JVEvHnlPU8s+5ZUSDjK44E7YrEp3JTutffqi/RUz/wCtVLFsZrIH2ZVVAHMZnu+8SrsTwVRtKo87piRuO5zib6ihY+Rxc8FzS45k2sRc9RVnWebis96R7fReD3i34Voa5NhCEIBCEIBCEIM33enWw6Mc9Swf4Ux9Sw3DBmv0fujaKPxKnjiZK2MslEl3NLg6zHstkcuPtzWXV25jUUr42maJ2+a9tXWFtQAm9+ta5CeE5L2SrQzc8qvTjt159y7N3Oan9ZH3f7rexFQJRdXA7nFV6bP57V4dudVfpx96bBUl8JVufueVIBJliyBPwuQX5kvZonIbASx5kAcbaexNgQ3QnsmiczXau+RH6Tv9KZ/9nNX+sg+vJ/8AWmwVCyArV/QSoBjDpIhvpIbm/aGl9iCy44LSexeJ9DZWTRwmSPWkdqAjWsDvb5M8uZhHamisEIsvuIzRQyGN7zcFwN2gAFrQ83JdzEKJR4rE9utwrHmANug55HoTRLISqtaulRjkbdjHnuHrSep0hjJtqPv1N9qmqkQNzVuwYbEiwXD9/aHiRjL34Lr63aFMxPFhQlgc3fNYEgsNgLWGd+tWM1dG7FU9KI8lZ9AXOxMO1G701ovrO4d+iwt5qwYhuZOlFjVNH7kn8anqJJUTcPl9zmb8w92t7VqKqGg+hRw5zzv++B7bW3vUtmDfjHm8Vb1zbCEIQCEIQCEIQCq+mmT6U/Llb3wuP4VaFV9OhlSu5qi31oZR61Z9S/DGI5DqHkuij0zuA0/Jb4gLu13Z0cyonlgKjzx2Ulh2dS4VRyPUoI6gUwAcbc8n3wp4S+mPC7Zv4gVEkPOvt9H8SkEKJfh8vweTrUmV1ufsF0CHSjH46INe6HXyNiCAWg5EAkZXsFT36bxyzRTiF43t+sG3ab+5vjsT9O/Yp26sbxN28XlBHwjzrOsMPACsVGx3DzUzvle4cN736tpnAa3MDNlbmGQS0YPEz4Vj0Rv/AP0BWGQpVVPTIFM1FHneR/L+jN8+ucqEMJa53Be63ymC9+oOUypeveHO4SmB5QaKtlAyhH7mQ367zqZNueB9ryhu3iRAXvz3ebpzgj7AJ+JwArkZ0n0UqXYM2Tew2bXAB1miMixJF3NvcZnJN6Tdcne8M/JohcgX13n1JHpFKCwqnYSfdh1+tLFj9Q4dUGSJjzYFzQTbZc8ykpZo2b0sXzfWUzWFCEIQCEIQCEIQCrGn3vUB5qqD7Rc38Ss6rO6CPzVh9GppD/8AIjHrVn0rvRtvHHt4rdhI5BzFSWC3P2knzUXDj7kz5oUsHoI67epVDBnJ1LhVnJd4tg6lGqTcfz0oOTUupuN2z/xAmDUupuMOuf8AiBBIPG7GeZUx4yUI8bsZ94qZIMvYSPEIM33V5XCwvwdQZW5S5181QsNA1cr+Cve6wy4AHoN2nPa7lKo2GRuDALeIWorpKB0+HsS6pEfK1/Y9o/AmcsbuZK6uN3MlC+YQcrJP7wepgXymlgB4DXA32l2t5iy4VjSodJTvLsgoNLwQkgWLv8P/AEJ5JGQ25LrdUfqYkuiUL2tGsPFvtT/GHHeXAGxtl/IVYUTEceLpXxsjFm5BziXF2QN7N1bbelfKMMaQ/e3E9bQO4sJHeqrX0pdJnK1r7kWO+3I5M2MI5+VTMOw8hw3yZ9jyNdJnzZ3CmtyNWwvdLkgibGKYODb2JlN8yTyMTR+6g+wcKcWcLi7rcts7X5lVZtEoxh5qoXyF0bgZGveXh0Z1QXN1jdpbfW25gOyvZJ6cXib0aw7dYnyLUklStT0Q0+dWVP5O+EM1muc1zXE5tzLSCOa5v0K9LDdz9+riVP0l7e+J/rW5LNihCEKAQhCAVd0/H5k8+jJTu7qiMqxKv6fj/u+pPMwO+q5rvUkHzCT7k3t8HEKYBYWUDC/ehY2s53Jf4RU5l+cHqBHrWkMIuK3sUeo2HrPmV3ZxOzyUZ+xQc2pdT7R86f8AiJkEtp9o+dN/EKo7Odwuxv3ipcjwOfsa4+QUU7eweamO2IM03UXXe35jeQj4TudU+g2K47qfHb8xv3nKnUGxagky7Eork4kGSU1wQIqlesN4yKkL1Q7VIrQ8BfkE0xO29nqSXAjkE4ruIVphkeIN/OEykHFKhYqLVHap0uYCy3Gr6PN37C6yIbXQStHW6J4HjZUKhziP7R1uotYf56lfty92vHJGfhMt6j5rPMGvvRByIEZPWWkEeB7k5KaaNyalbTO/t4x9Z4b61vq/PFO/Uljf6Ekb/qvDvUv0Op0BCELIEIQgEk03ZfD6sf8Al5fBhKdpfpDHrUtQ3nhlHfG4IFOCOvED0nxz9aZhJtGH3p2nnAPexh9aa07rkjhZc4HhYLaGEXF71wOxdmHgrk/YoORS2nGz5833ymRS+AbPnS/fKDo/b9EeakyvsL5fSOqO+yjyDP6PrCkvYHCxFxzFBm+6ieG39mOn4TuVU7D9iuG6n76wf2Y+89VGhGS1BIl2JVWhNZUrrAgSVAXqi2r7UBFIc1FXXA3ZBPpzdqQYKdisLxwVphlWkbbTZc6kg3YF60wgLXF3LcW7TbNQKKGoeM3MA5A0Hxuo1Gr7k81pNXnafDP1KqxN1Z6qP0ZJG2/ZTOZ7V90dx+SjOs2FrngHVu4gEkWzz2ZqPRzufO+SS2tKJnutk0OkfvhDb8mZAUkWvlWCQeo+S/RFHNrxsf6TWu7wCvz1NZbtom8uoaUu2mnhJ697bdTpIaoQhZUIQhAKLirbwSjnjePslSlwrxeKQfId90oMUwjTvViZHDPCzVDQRJG/WyAGZdYOytsvsTyLSeR1vzyO9hctdCPC+SxKk447Fa6Nlwus/qWNTjxx+oR+Ug35d8Ad1CzretKK2pkcR+dP5f058eGqW6EKHUxC2xExbKyke/L8ttnt359xt+V086amrawXNcHZ34T2XH+JYLIa1nQktaBZS9L51tcWPMa4XxFrbZ2NRDmQeYvOVri2wqJLjFKXFz8YLOETZkhJIOeZidY8uWSxAoCz6p5a9jONU0zAIauWR7SfdJg6Rr28jWgtJbY3/mxUSlkkDLgNeeYN1b9V3+apWCx8Enp9Q9quWEEluas/q46OrZeWAf3g9h81CqKiQ/omjrmjH3nBMp0mrSgh1LX+iwf+opz/AJihMncDkPtMPiCvVSoAOagt2EYnUjixtcObWa095v5KwsxGuIygiGXLKHeTAqzo5LmFoFJYjZyLTLONJpalwdvrWN5ctWwtnlY3ysk1J+VZFpy5gGE+I9auWmoABy2gjvVNw7EQ0C7b9TgfA2UrUXDR6OF7gKkyx3trGwFhy21WOF7X2kKzyYZg7CHOxCYDpYy/3FRKOsdIbNglPU1rvuuup9K+0jA4bJGhwc3MZ2ddp2OGe0IL9hZwHbv8kg/tLgdzGtutQpJmPY10Za5jgCwtsWltsrW5F+eKuFoJAaBYkdxstU3H6ovons5Iqh7B1OZHLl2ynxUsF5QhCyBCEIBeJxdrh0HyXtfCg/HlJxh1BXLDhkqfG2zwFccN4oXTkqYWqDVtyKZaqhVbcirUViuakVcrDXhIMQCxWoWlAQUBZRb8AZE6INJe19zfghzHZ5Z3BbllsPqVqoKN7RYNLukFoH2nA+CqOjoyHWtEoOKFufCllTA/0T/PUldTQvPN2uDfNWudI8RCqK5Ph0nPF21EA83qAcOffjQdlVTHykU6uCV6uairHgtBM0g6gPzZIneT1d6Z8jW+8SnLYN5H35GqoaN7Qr/S8VVmqPpeJXtzhewfLdAfCORypeGwAkixOe3JtvO/gtJ0wZwCs+wvjuHSpY1ytmjZY17Rqk5jMuHkArBulRCOsjmaB7pBDK6w2vYS0k9jWDsVWwt9pB1q37pQ1mUMnPDK0/QdHbzKn6tJMSZaR/WT2uzPmr/uMy8CqZzSRv8ArsLf8srP643OsNjmtcOotFlc9xqS01U3njhP1XSj8SvXxmNUQhCwoQhCAQhCD8h1LLTkcx9atmF8UKuY2zVqnj5R81Y8K4oXTkplZRKoZKaAotSMlUVjEGqvYgrLiAVbxELNWFRQ1BQFhVs0dGQWh0A4IWfaN8i0OhHBXSJXqdJMRT2cJFiSIrValnKmdalbtqirLo+7MLQqB3BWb4C7MLQsNdktMUs0rb7mVmtDlK5adpM28Z6lmMGUxUrXKwUeTgrvpvwsPon+jJIz60et+BUiHaFeceGvhDD+rqWHqDmPb5kLP60rdRxIv2TPC4t3WVn3IprV72+lTv72yRH1lVf9DF1PHaH38iO5OdzObVxOIemyVn2C/wA2BW/GW5IQhYUIQhAIQhB+VdK2WrZB8t3mnWE8UJbpyy1fJ8933imWE8ULpyU1UadSQuM4VRWsRCreIhWfEQq1iYWasJXICHL4sC4aNbAtEoeKs70Y2BaLRcULoPU6RYkns6R4kERWaxKnbU2rQlLxmopzgjswtDwp2SznCNoWg4S7ILTNfMfF4z1LLH5TLV8Ybdh6lk+JcGbtUpysMXIrvUPvg845n05/xmD1qj0huAU7xjEgyiFPfhVEkeXyInCRzuq4YO1Z/W3CN3uLehzmjoGTvN3gpuhLiMSpT/aEfWY9vrUfB6UvYSdmtl2ix8grPoLhN6+F36vXkPUGFo8XtVqNhQhCwBCEIBCEIPzJuhstXyfPd94qVhHFC9bolK5+IytY0uOs42HMHIw+B7ANdj2/OaR5rrAzauc69McvM+xEIMQCq2KK1YgdqqWLOUqwoK+IKFzFv0V4o61o1DxQs30RPBHWfNaPRcVdIPc6SYincyTYgqis1qUS7U6rQk821ZoYYW7MK/YO7ILPsM2hX3CDkFqJTKvbdhWSaTN1ZD1rYKgXaso02js8qX4c/UzR6cOZmbWzJOwAbSUQPdUSmWxOxkTeZvJ1EkknrKreEyvIdGNj7An5PKO3yWlaHYaL76RkzJnzthPq71I3ae0VGIo2x8oGZ53HaVfNAsK1I3Tu2y2DOiIbD9I3PSAxVvCMO/KJmx/B4zzzMHGz5zcN+lfkWnNaAAALAZADYAp1WY+oQhZUIQhALnLM1ou5wA6SAl2lWJOpqSaZgBcxl2g7LkgA9l79io2EaSQVbdZk4MhGYcRrg9R29ismio6bVbYsTfJcWIeATrAXdm0kt4QGzMC694VUsDAI3MDbC5D44+EMtc629usciWgWy5bqsac0EgqCXVDNbmcSwnpGtwT3rjhtawANdKwHpIHjey2i5YlJdzOEHHewCQ7XGtryXsbnLlAOdiMgoNQclFjkJ4pjPU+/qXCrfJbi+IVC7FJQLqm4jLcpzi7pOYd4VclBvmsWq8IQvTW3/wByB5rItGiRyHWtKouKsw0a4Lg24OfwTcZ9K02iPBC6T4OsyUVwTWUpXWqorlaEmnGaeVgSecKCRhu1XnCDkFRaA5q7YO7IKxKsBzCzTdChtmtLiOSpu6LR3h1+Yi/elSKlotQl7mgbXGw6OcrXaSBsbAwZNaP+pKo2h0TYma7uM4ZdDf8AdXWiqQ8tAzubnqHJ2nwBWW2j6J4ZvMWs4Wkls519rW/AYeYgEkjncU8XiF+s0HnAPeF7WAIQhB8uvq5ueAo8tcArggaZMvRyjnAH2gvzZVYQGymw5eTIr9FaSVetTP8Ao/eCx3FKcF17LXKF8DHFuqZHlvovdvrPqSazfBcJ8Ahftjjvzhpj8Iy1vgp8bbLu1bwV6TRFnwDbtB9Q81Dn0Ul5DftI8iVcmlew5TBm9To7Ut+C49vtS2bD5W7WO7j5rXA9DgDtA7gp5GN6hQWFa7Lh8L+NG09iXz6LUrvgW6iR5KeTVAwyuEbgSDlyj1j1rS8Ix+newe6AHmdlY9exI59CIjxXuHRkR4qDLoVIOJIPEJNir6ahjtjmnqIUKrVL/o1WDiys7X28wgYLiXJqn9/D63gq6hzVNSapC6jR7Fzshc7qfG7ycvv9GMYP9UkPY32qaONG7NXXBcwFUBoxi/xV4697HmV9/o/iw/RW65oR4a6spWnROyzIy25jLr5lAxh1PLG6OWRmq4Z2cL9Y237iqI3RnE3bWj6wf4tJXUaE4i7jOAHzmjzTUyG1RPRtvqj6ROXZn6lHZpcyPgQNBdyWAJv4Dm5AoDtAZRnLO23KA4k99rKXSUYpz7gyJjh+kLTJJfnBeTq9gCf1W30mN7zvYc7gu1RquNyAbZjlyVtWFaMwF0m+SSOe/wBJ52fNHPmtygfrNaecA94WKPaEIUVEqIyUnq4XjkViIXkxhXRQ8eleYJGgHWsCBymzgT5LN6iqBJ5+lb9LRMdtASXE9DaWfjxC/pC7XfWbYqy4jExJmurXrQ6vcriOcc8jeh2q8eQPilFVuZ1bPe5YpOvWjP4h4rfqCra69a6mVmi1dFxqaQgcrLSDuYSfBKpXlhs8Fh5ngsd3OsVdglhy+6yiiVehIgkh69hyih69B6CSHL1rqOHL3rJg8zJbUsCnSFRZQgUTwjmUGWJOZY1ElhUC6JpB5U+wud4+Ee8pa2BMqNllYlWWiqdgfJqjPNxNtl0yiYHDLfH/ADGOdn3Zj/bsT4dXyR8R7m326pIPeM1NfWPfxnud1knzRlyrbi4III2ggg9xUR9WGN1DK0CxBEUZc8623We6w2G20qQ83Od7WJPU1pcRfk2Wulr6qxya1vULnvdcjvRTfR5+qcha5yvtA5D12WzYU68MZ+Q3wACxrDZHAjfNbWuePfWtlY552vreK13RqXWpoz0OHc4j1Ln01DNCELKhCEIBCEIBCEICy5TUzHizmtcOYgEdxXVCBFVaHUEl70sQJ2lg3t3eyxSOs3MaV3vUk0fRrNkb9sF32leUIMrq9zCoHvVRE/mD2ujPeC7ySer0IxCP+r6/TFJG7wcWnwW2IWvVH56qqaWL32GWO3LJFI1v1iNXxXOGYO4rg75pB8l+iUtr9H6Sf36mheed0bCe+11faYwh5XB5Wy1O53h7zcRPYfkTTNH1dbV8EuqNy2mPFqKhvReFw+1HfxV9wxkb1wetYk3KWclW/wClE0+RChv3Ks//ABY/9v8A81PcGYtCmUwWixbkw5avugt/mKXFuVsG2qf2RsHmSnuGKDAxTowr/Bua0w409Q76TG/dYFOg0BoG7YnP/aSSO8L2T3Exls8wbmHAEbM87rxTUdZMbQRvseVjBE3tc0NBC2ujwGli97p4m9IY2/fZTTA3mU9mM10d0Gc0h1S/LaWM2noLvYtGp5I2tDWjVa0AAWsAAvppRyXXxtIOUqW6qQHA7CheWxAci+LKv//Z"
Rocket Espresso Appartamento,Espresso,Advanced,1.8,1.2,144500,1700,3.2,20,Exceptional,https://images-cdn.ubuy.co.in/639ec563a5379a1d0b495b35-rocket-espresso-appartamento-espresso.jpg
Sage The Bambino SES500,Espresso,Moderate,1,1.6,40715,479,3,4.5,Exceptional,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQRwdrztwkLvyLqXdPvMfSvsYJj0I3XeGVckA&s
Smeg BCC13,Bean-to-Cup Coffee Machine,Very High,1.4,1.45,84915,999,1.5,7.5,Excellent,https://cdn.mos.cms.futurecdn.net/Rv2eKiuZNcY5JJiLUbj4ZN-1200-80.jpg
Smeg Drip Filter Coffee Machine DCF02,Drip,Easy,1.25,1,21245.75,249.95,6.5,3.5,Excellent,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSDkIUAI37sKMM4GPkoXdd99DH5b3wDOm13RA&s
Smeg ECF01BLUS,Manual Espresso Maker,Classic style with modern brewing capabilities,1,1.35,42495.75,499.95,3,5,Elegant espresso with moderate crema production,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTHzxLZnlFKxL8TvQyLGP0EQaelri__TFUqsQ&s
Solis Barista Perfetta Plus,Espresso,Easy,1.2,1.4,42415,499,2.8,3.9,Excellent,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRAjsPrxPfnujG0eSet-mQJFdWIFK0YqOHTrw&s
Tchibo Fully Automatic Coffee & Espresso Machine 61222,Bean-to-Cup Machine,Compact with one-touch brewing,1.1,1.35,33915,399,2.5,7.2,Great flavor with fresh grinding,https://m.media-amazon.com/images/I/61Onju-fH2L.jpg
Technivorm Cup-One 69212,Drip,Easy,0.33,1.1,20825,245,4,1.8,Excellent,https://www.homecoffeesolutions.com/cdn/shop/products/Artboard8_e508b784-eb04-40c3-a49e-a30ae7c4b618_800x.jpg?v=1675106941
Technivorm Grand Moccamaster CDT,Drip,Moderate,1.8,1.65,32215,379,6,4.1,Exceptional,https://m.media-amazon.com/images/I/61xdJQT6S4L.jpg
Technivorm Moccamaster KBGT 79112,Drip Coffee Maker,Simple operation with high-speed brew,1.25,1.4,29749.15,349.99,6,2.8,Consistent temperature and extraction,https://m.media-amazon.com/images/I/71nWUz7pEdL.jpg
Technivorm Moccamaster KBGV Select,Drip Coffee Maker,High,1.25,1.5,30515,359,6,3.5,Excellent,"https://m.media-amazon.com/images/I/711yjTOlsuS._AC_UF350,350_QL80_.jpg"
Wilfa Svart Precision WSP-2A,Drip,Moderate,1.25,1.55,29665,349,5.5,4,Excellent,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRzmpAvl6LfQgvngxiStWM_2GwlA5sbhzc3xg&s
Wolf Gourmet Programmable Coffee System WGCM100S,Drip Coffee Maker,Custom brew strength and temperature,1.4,1.4,46749.15,549.99,6,4.8,Exceptional extraction and consistency,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTjqdVH5ilGbYJ-x7tmPYzKllSWt0c4EdEVAQ&s
xBloom Coffee Machine,Automated Pour-over,High,0.7,1.2,67915,799,5,5,High,https://xbloom.com/cdn/shop/files/01_grande.jpg?v=1714400131
Zojirushi Fresh Brew Plus EC-YTC100XB,Thermal Carafe Coffee Maker,Easy controls and vacuum-insulated carafe,1.5,1.4,13599.15,159.99,6,4.3,Keeps coffee hot for hours with no flavor loss,https://shop.zojirushi.com/cdn/shop/files/EC-YTC.png?v=1702604158
Zojirushi Zutto Coffee Maker EC-DAC50,Drip,Easy,0.65,0.65,7649.15,89.99,6.5,2.2,Good,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRUzj4srl9bCpaZeihe8O2CGxwTJjG0thynLw&s
