Machine Name,Capacity,Processing Time,Noise Levels,Weight,Dimensions,Power(W),Warranty,Batch Output,Price (INR),Price (USD),Image URL
KitchenAid Ice Cream Attachment,2 quarts,20-30 mins,60,2 kg,22 × 20 × 20 cm,0,1 year,4 servings,6800,80,https://m.media-amazon.com/images/I/414Qk52Yn0L._SX300_SY300_QL70_FMwebp_.jpg
Lello Musso Pola 5030,2 quarts,20 mins,50,30 kg,49 × 34 × 35 cm,200,1 year,5 servings,102000,1200,https://m.media-amazon.com/images/I/31ChAiA0TTS._SY300_SX300_QL70_FMwebp_.jpg
Cuisinart ICE-100,1.5 quarts,25-45 mins,65,13 kg,44 × 30 × 22 cm,150,3 years,4 servings,25500,300,https://m.media-amazon.com/images/I/41+zCW+8NSL._SY300_SX300_.jpg
Nostalgia 4-Quart Manual,4 quarts,30-60 mins,0,4 kg,40 × 30 × 30 cm,0,1 year,8 servings,3825,45,https://m.media-amazon.com/images/I/51VldngcGtL._SX300_SY300_QL70_FMwebp_.jpg
Whynter ICM-15LS,1.5 quarts,30 mins,55,10 kg,34 × 30 × 25 cm,150,1 year,4 servings,21250,250,https://m.media-amazon.com/images/I/41RwgfLSnmL._SX300_SY300_QL70_FMwebp_.jpg
Elite Gourmet EIM402,4 quarts,40-60 mins,65,3.5 kg,39 × 28 × 33 cm,60,1 year,8 servings,4250,50,https://m.media-amazon.com/images/I/411XAH9ly+L._SY300_SX300_.jpg
Cuisinart ICE-30BC,2 quarts,25 mins,65,7.7 kg,30 × 20 × 30 cm,120,3 years,4 servings,11900,140,https://m.media-amazon.com/images/I/31sXfOcRlZL._SX300_SY300_QL70_FMwebp_.jpg
Breville BCI600XL,1.5 quarts,20-40 mins,60,14 kg,40 × 30 × 22 cm,170,2 years,4 servings,38250,450,https://m.media-amazon.com/images/I/414rJef3-PL._SX300_SY300_QL70_FMwebp_.jpg
Tummbl Ice Cream Maker,1 quart,20 mins,55,1.8 kg,25 × 20 × 20 cm,0,1 year,2 servings,4250,50,https://cdn11.bigcommerce.com/s-pfq4gtwtdi/images/stencil/original/image-manager/tummbl-ice-cream-maker.png?t=1701379701
Ivation Automatic,1.6 quarts,30 mins,60,8.5 kg,35 × 27 × 22 cm,150,1 year,4 servings,14450,170,https://ak1.ostkcdn.com/images/products/is/images/direct/3fe1ec106bab44ca6afd1cf8b3a1598c66d83324/Ivation-Automatic-Ice-Cream-Maker-Machine%2C-Stainless-Steel-Yogurt-Maker.jpg?imwidth=714&impolicy=medium
Ninja Creami Deluxe,1.5 quarts,20-40 mins,65,6.8 kg,22 × 17 × 40 cm,120,1 year,4 servings,21250,250,https://m.media-amazon.com/images/I/41FrbCLAa8L._SX300_SY300_QL70_FMwebp_.jpg
Breville Smart Scoop,1.5 quarts,30-60 mins,60,13.7 kg,35 × 26 × 24 cm,170,2 years,4 servings,42500,500,https://m.media-amazon.com/images/I/414rJef3-PL._SX300_SY300_QL70_FMwebp_.jpg
Whynter ICM-201SB,2.1 quarts,30-40 mins,55,12 kg,30 × 22 × 27 cm,180,1 year,5 servings,25415,299,https://www.whynter.com/wp-content/uploads/Main-Image_ICM-201SB-2048x2048.jpg
Cuisinart ICE-21P1,1.5 quarts,20-30 mins,65,4.5 kg,22 × 17 × 17 cm,50,3 years,4 servings,5950,70,https://m.media-amazon.com/images/I/31lx6uA6XpL._SX300_SY300_QL70_FMwebp_.jpg
Hamilton Beach 68330N,4 quarts,40-60 mins,70,2.3 kg,39 × 28 × 33 cm,55,1 year,8 servings,4250,50,https://m.media-amazon.com/images/I/31C8KwC5TrL._SX300_SY300_QL70_FMwebp_.jpg
Lello 4080 Musso Lussino,1.5 quarts,20-30 mins,50,19 kg,44 × 31 × 28 cm,200,1 year,5 servings,59500,700,https://m.media-amazon.com/images/I/51jCTtNHk0L._AC_SL1000_.jpg
Nostalgia Vintage Electric,4 quarts,30-60 mins,65,3 kg,30 × 22 × 28 cm,0,1 year,8 servings,5525,65,https://m.media-amazon.com/images/I/51VldngcGtL._SX300_SY300_QL70_FMwebp_.jpg
YayLabs Ice Cream Ball,1 pint,30-40 mins,0,1 kg,15 × 15 × 15 cm,0,1 year,2 servings,2550,30,https://m.media-amazon.com/images/I/41JrpvZs1KL._SX300_SY300_QL70_FMwebp_.jpg
Elite Gourmet Old Fashioned,4 quarts,20-30 mins,65,5 kg,23 × 18 × 21 cm,100,1 years,4 servings,11900,140,https://m.media-amazon.com/images/I/31mMtyPmBdL._SX300_SY300_QL70_FMwebp_.jpg
BRIOBITE ice cream maker ,0.5 quarts,20-30 mins,70,4 kg,40 × 30 × 33 cm,75,1 year,12 servings,5100,60,https://m.media-amazon.com/images/I/61Se1PUmcqL._SX679_.jpg
Carpigiani 161 T G SP,5 liters,8 min ,60,15.06,19.5 x 26 x 32,2300,1 year,200 servings,739500,8700,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQDjeYv3C_lRU4YpyLgCbZUfCYgf0UCvSHA_Q&s
Carpigiani 191 Classic,"12 liters (Pump Model), 18 liters (Gravity Model)",5 min,62,21.084,20 x 30 x 33,2400,1 year,300 servings,807500,9500,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRLEL-T0C8_OZuyFtUYjxcRdMwipEmZS46JBg&s
Carpigiani LB 302 G RTX,15 quarts,10 min ,65,43.674,35 x 19.75 x 55.4,2800,1 year,80 servings,1547000,18200,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS-Cdl2ZsE5mBdXrl3Dzuc2ZkaH42TSbKzbpg&s
Carpigiani LB 502 G RTX,20 quarts,12 min ,67,47.439,39 x 20 x 58,3200,1 year,120 servings,1785000,21000,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQdQnnQMardPQkQGUvMoW4PowIHdA8EkShEDw&s
Carpigiani Maestro HE 2,15 liters per cycle,10 min ,60,49.698,29 x 32 x 53,4000,1 year,100 servings,3570000,42000,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTjLMVRdNtQ7_GK9deHWt01EECopbFqALxkHw&s
Cuisinart Fresh Fruit Attachment,1.5 quarts,20 min,55,10,10 x 8 x 7,60,3 years,Dependent on base machine,6800,80,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSbYbsFlhUYWUt7InelOG-miSEPtf7GgXYfLg&s
Electro Freeze 15RMT,5-quart cylinder,10 min,66,39.909,18 x 36 x 68,2200,1 year,240 servings,1190000,14000,https://electrofreeze.com/wp-content/uploads/2019/06/1db9e087-af99-44ed-ab1c-f2a116e164c0.jpg
Electro Freeze 30T-RMT,Two 5-quart cylinders, 8 min ,68,9,26 x 36.5 x 68,2000,1 year,400 servings,1360000,16000,https://electrofreeze.com/wp-content/uploads/2019/06/222f146c-9ed8-42b6-936b-fda3a5d52436.jpg
Electro Freeze 44RMTFB,3.7-quart cylinder,9 min ,65,73.041,24.2 x 33 x 70.2,1400,1 year,360 servings,1700000,20000,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQM1vYCJpBgytvpWkb_VLJHTv1y1yv_a2SDCg&s
Electro Freeze 77CMT,6 quarts per cylinder,7 min,63,43.674,24 x 32 x 58,2400,1 year,450 servings,1530000,18000,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRVdisJsXnZi9uAmI_4xxOd6tybJFgNT5COSQ&s
Electro Freeze B12E,12-quart cylinder,8 min ,68,43.674,24.2 x 36.1 x 53.4,1800,1 year,300 servings,1402500,16500,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQWyXoBAIxIyA6eRg4ziaNTcIFQ8XRi_rlcLw&s
Electro Freeze CS4,"9.5-quart hopper, 2.6-quart cylinder",7 min ,62,15.06,16.5 x 23.6 x 29.5,950,1 year,Varies,663000,7800,https://electrofreeze.com/wp-content/uploads/2019/06/62594604-1988-46a1-bde7-415227a8afd6.jpg
Electro Freeze CS600,"20-quart hopper, 3.7-quart cylinder",6 min,60,21.837,18.4 x 28.1 x 35.3,1200,1 year,500 servings,807500,9500,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTcYIQe_o34S03uRCrs_WM3d-_V1f9ftS_eWA&s
Electro Freeze CS705,"20-quart hopper, 7.7-quart cylinder",5 min ,67,25.602,18.4 x 28.1 x 58.7,1200,1 year,550 servings,1232500,14500,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT68kEzECShi7LQWJjUfQS-0tGTCs9GSyWOAA&s
Electro Freeze GEN-5400,"5-quart cylinders, 24-quart hoppers",6 min,70,7,26.2 x 36.6 x 67.9,3500,1 year,400 servings,1572500,18500,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQEdmvDozeSOgD5df9iOgt9X6nGW2R1s4hQBQ&s
GSEICE Commercial Ice Cream Maker,1.6 gallons per cycle,10 min ,68,16.566,22 x 26 x 34,2000,1 year,60 servings,161500,1900,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRXLtNcfMzv9DfpOd_gVmE9_GuCOFmmh6MLqw&s
Guangshen BJ188C,18-20 liters/hour,6 min,62,12.801,21.6 x 21.6 x 34.2,1250,1 year,80 servings,93500,1100,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQjAJ8MVONfWGukOHerjIGlDww3zAlXBym2zQ&s
Guangshen BJK288S,6.8-8.4 gallons/hour,5,60,14.307,16.5 x 19.7 x 30.3,2500,1 year,100 servings,114750,1350,https://www.gseice.com/cdn/shop/products/BJK288S_99fe37c4-494e-4160-82d2-53787dab785c.webp?v=1715830169&width=1445
Guangshen BK3208C,30 liters/hour,7,64,15.06,22.8 x 24.4 x 36.6,1550,1 year,120 servings,127500,1500,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR12GpR514EWC3XzM0R2zapympZ5whbC7NQjw&s
ICETRO SMC-303,3.2 gallons per hour,5,65,12.801,16 x 28 x 32,1800,1 year,150 servings,612000,7200,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRRrIzzmp5GkWe5iQVrPd6A-o_1ePt1eiCZ3A&s
Immergood Hand Crank 8 qt,8 quarts,25,0,12.048,15 x 15 x 20,0,Lifetime,8 servings,23800,280,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ8ikiPOjNF9d2O3fIl9cES-m_5h4idSei1_A&s
Nissei NA3338 RAPID,55 liters/hour,8,63,26.355,63 x 18.5 x 33.1,2500,1 year,220 servings,782000,9200,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR_xW1xoWy5-hV84ayNKtNROq9Q5tbSlrToiA&s
Nissei NA3348 GIANT COMBI,75 liters/hour,12,67,31.626,63 x 18.5 x 33.1,3000,1 year,300 servings,1343000,15800,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR_xW1xoWy5-hV84ayNKtNROq9Q5tbSlrToiA&s
Nissei NA6455,50 liters per hour,9,64,36.144,24 x 36 x 66,2500,1 year,350 servings,1020000,12000,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSgBDIbyhgXPF9VHjjc0P0EOBHXbmlzke707g&s
Nissei NA9328 PROF,40 liters/hour,9,62,18.072,33.1 x 17.7 x 33.5,1500,1 year,500 servings,739500,8700,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSJgwZr1Y_-oue6p97Sblq4iCkYChgblusUAQ&s
Nissei NA9420 G SMALL ICE,30 liters/hour,7,61,13.554,34.3 x 11.4 x 29.1,2500,1 year,200 servings,663000,7800,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTX1ihOCawZJ3ob4G6odrTyLzPg_PDZLRVYWw&s
Nissei NA9438 POWER PRO COMBI,55 liters/hour,10,66,27.861,59.1 x 18.1 x 29.9,3000,1 year,250 servings,1139000,13400,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQXFFXclljHBtL9QSGIINtFMZbCsTvoyxjGXg&s
Nissei NA9438 POWER T,55 liters/hour,8,65,21.837,32.3 x 18.1 x 29.9,3000,1 year,300 servings,1037000,12200,"https://static.wixstatic.com/media/72a02e_6bbd909dbb484f3aa512300f14fce79a~mv2.jpg/v1/fill/w_1100,h_1100,al_c,q_85/stand%2012.jpg"
Oceanpower OP138,18 liters/hour,7,63,14.307,22 x 28 x 35,1400,1 year,80 servings,153000,1800,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT14ZbGgCQKjcInnBcsK8Fvj0RyumCzMsUhsw&s
Oceanpower OP138S,20 liters per hour,8,62,15.813,21 x 26 x 36,1800,1 year,80 servings,136000,1600,https://image.made-in-china.com/202f0j00naHfbcvPbMqL/High-Quality-Soft-Ice-Cream-Machine-OP138-.webp
Soft Serve Home Ice Cream Maker,1 liter,10,66,11.295,12 x 18 x 14,180,1 year,4 servings,51000,600,https://images-cdn.ubuy.co.in/64ca6a7afc2a46683a77d2e1-cuisinart-ice-45-mix-it-in-soft-serve.jpg
Spaceman 6235A-C,5.5 gallons per hour,6,60,24.849,20 x 28 x 58,2200,2 years,200 servings,867000,10200,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQKELCo7fKRSq6fDLXLHuQXwO9rpbhBmdi6PA&s
Spaceman 6250H,Two 3.4-quart freezing cylinders,6,63,42.921,20.8 x 30.1 x 63.6,2300,2 years,240 servings,1232415,14499,https://freezerplanet.com/cdn/shop/products/spaceman-6250h-frozen-yogurt-soft-serve-ice-cream-machine_grande.jpg?v=1622036240
Spaceman 6455H,One 8-quart cylinder,8,67,24.849,14.4 x 28.6 x 39.5,1900,2 years,320 servings,956250,11250,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTnin9fAbXWy-XkWYF0PZ4ai9dHJcBYJWG_VA&s
Spaceman 6690,20 quarts per hour,12,65,60.24,25 x 33 x 51,2700,2 years,400 servings,1614150,18990,https://www.spaceman-company.com/wp-content/uploads/2020/07/6690-C.png
Stoelting F231-309I2P,Two 3-gallon hoppers,7,62,33.885,21.5 x 33 x 68,2100,1 year,300 servings,3359259.5,39520.7,https://www.jesrestaurantequipment.com/thumbnail.asp?file=assets/images/products/stoe/thumbnails/stoelting-m202x-114b00sir-soft-serve-machine.jpg&maxx=150&maxy=0
Stoelting O231,"5-quart cylinder, 15-gallon mix hopper",10,64,37.65,20 x 30 x 64,1900,1 year,250 servings,1852150,21790,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRvp-_3LTP1v8uIvjwjzJbGsF3Q9LAu-Vm8VA&s
Stoelting SU444,8-gallon refrigerated mix storage,8 min,65,45.18,30 x 38 x 72,2400,2 years,275 servings,3978000,46800,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS-MLCK3npg9GsAJLBEfsr_oM8BeHaBJ_1c4A&s
Taylor 0632 Combination Soft Serve & Shake Freezer,"20-quart hopper, 3.4 quarts soft serve cylinder",12 min ,68,50.451,26 x 33 x 59.5,3500,1 year,500 servings,1572500,18500,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSH98xaaoiZyvpLphD_2gjU0CTs0ozzi8bZ5A&s
Taylor 0738 Soft Serve Freezer,"2.1 quarts per cylinder, 8.5-quart hopper",10 min ,64,24.096,21.2 x 26.4 x 35.8,2800,1 year,400 servings,1122000,13200,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ6-m551vbQWFn46x1YPTqGrhlwejE8cYoboQ&s
Taylor C152,20 quarts,8 min,62,18.072,18 x 24 x 32,2000,1 year,250 servings,722500,8500,https://5.imimg.com/data5/SELLER/Default/2024/4/412639252/OH/DM/OT/2561318/taylor-c-152-soft-serve-frozen-exclusively-at-skycon-stores.jpg
Taylor C161 Compact Soft Serve Freezer,"1.5 quarts per cylinder, 8-quart hopper",6 min ,65,22.59,22.1 x 25.1 x 29,2000,1 year,220 servings,782000,9200,https://5.imimg.com/data5/QR/WN/KC/SELLER-2561318/c-161-soft-serve-freezer-compact-twin-twist.png
Taylor C794 Soft Serve Freezer,"3.4 quarts per cylinder, 14-quart hopper",8 min ,67,48.192,20.25 x 32.3 x 59.6,3200,1 year,284 servings,1317500,15500,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSS8RY0j85mVjR_vBg9V73l01z55s7GzAacXA&s
Teknoice Teknofreeze 2B,13 gallons/hour,8 min,62,45.933,30 x 28 x 47,3200,2 years,90 servings,3187500,37500,https://www.machineryworld.com/wp-content/uploads/2021/01/Teknoice-teknofreeze-800-1-1024x768.jpg
Valmar Multi Chef TTi 80,8 liters per cycle,15 min ,58,45.18,32 x 30 x 55,4700,2 years,120 servings,2805000,33000,https://valmar.eu/wp-content/uploads/2015/10/valmar-cuocicrema-chef-cream-tti-30-240x450.jpg
Valmar TTi 60,5.8 gallons per batch,15 min,58,52.71,33 x 25 x 49,4500,2 years,100 servings,2465000,29000,https://valmar.eu/wp-content/uploads/2015/10/valmar-pastorizzatori-sweety-tti-60-1-240x530.jpg
VEVOR Commercial Ice Cream Maker,22-30 liters/hour,10 min,68,18.072,24 x 28 x 36,2200,1 year,300 servings,238000,2800,https://images-cdn.ubuy.co.in/66d3cda17a273830bf0f43e5-vevor-commercial-soft-ice-cream-machine.jpg
